,dhs_id,site_id,site_name,latitude,longitude,rural_urban,country,country_id,continent_id,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,positive,pr,species,method,rdt_type,pcr_type,malaria_metrics_available,location_available,permissions_info,citation1,citation2,citation3
4,,2998,Qasaaleey 1,2.213,42.3478,UNKNOWN,Somalia,SOM,Africa,12,2008,12,2008,0,99,49,1,0.0204,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
6,,13580,Kora Kora,-0.6097,39.7807,UNKNOWN,Kenya,KEN,Africa,5,1994,5,1994,0,6,270,36,0.1333,P. falciparum,Microscopy,,,true,true,," (1994). <i>Vitamin A deficiency in Kenya: A report of the national micronutrients survey, 1994.</i> . Nairobi. UNICEF. 1-89",,
10,,2247,Kuiti,12.4477,-1.3092,RURAL,Burkina Faso,BFA,Africa,6,1985,6,1985,0.5,9,143,59,0.4126,P. falciparum,Microscopy,,,true,true,,"Esposito, F., Lombardi, S., Modiano, D., Zavala, F., Reeme, J., Lamizana, L., Coluzzi, M. and Nussenzweig, R.S. (1988).  <b>Prevalence and levels of antibodies to the circumsporozoite protein of <i>Plasmodium falciparum</i> in an endemic area and their relationship to resistance against malaria infection.</b> <i>Transactions of the Royal Society of Tropical Medicine and Hygiene</i>, <b>82</b>(6):827-32",,
11,,19641,Galhareeri,4.5307,47.145,UNKNOWN,Somalia,SOM,Africa,11,2009,11,2009,1,75,50,1,0.02,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
13,,7541,Bowd Kuleejo,2.0987,45.1658,UNKNOWN,Somalia,SOM,Africa,5,2009,5,2009,0.5,80,101,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
16,,18536,Gudamo,3.3025,41.4704,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,19,3,0.1579,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
23,,707,Bagadey,1.818,42.649,UNKNOWN,Somalia,SOM,Africa,12,2008,12,2008,0,99,94,4,0.0426,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
26,,16882,Bura,3.1667,42.1333,UNKNOWN,Somalia,SOM,Africa,6,2007,6,2007,0,99,51,5,0.098,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
28,,14149,Nyamisati,-7.7833,39.282,RURAL,Tanzania,TZA,Africa,3,1999,4,1999,1,84,873,236,0.2703,P. falciparum,Microscopy,,,true,true,,"Bereczky, S., Liljander, A., Rooth, I., Faraja, L., Granath, F., Montgomery, S.M. and Färnert, A. (2007).  <b>Multiclonal asymptomatic <i>Plasmodium falciparum</i> infections predict a reduced risk of malaria disease in a Tanzanian population.</b> <i>Microbes and Infection</i>, <b>9</b>(1):103-10",,
30,,1998,Doon-dheere,1.7847,44.7125,UNKNOWN,Somalia,SOM,Africa,6,2007,6,2007,0,99,60,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
31,,22202,Nazombe TA  EA 042,-15.7829,35.795,UNKNOWN,Malawi,MWI,Africa,5,2006,5,2006,0.5,3,21,6,0.2857,P. falciparum,Microscopy,,,true,true,,"Mathanga, D.P. (2007). <i>Anemia Parasitemia Survey.</i> . Blantyre. Malaria Alert Centre. 1-52",,
34,,11657,Tenasso,11.28,-4.93,RURAL,Burkina Faso,BFA,Africa,9,2003,12,2003,2,9,102,78,0.7647,P. falciparum,Microscopy,,,true,true,,"Gardella, F., Assi, S., Simon, F., Bogreau, H., Eggelte, T., Ba, F., Foumane, V., Henry, M.C., Kientega, P.T., Basco, L., Trape, J.F., Lalou, R., Martelloni, M., Desbordes, M., Baragatti, M., Briolant, S., Almeras, L., Pradines, B., Fusai, T. and Rogier, C. (2008).  <b>Antimalarial drug use in general populations of tropical Africa.</b> <i>Malaria Journal</i>, <b>7</b>():124",,
35,,14243,Mulamba,-10.3,32.883,RURAL,Zambia,ZMB,Africa,11,1988,11,1988,0,14,46,41,0.8913,P. falciparum,Microscopy,,,true,true,,"Musonda, R.M. (1993). <i>Humoral immune response to the <i>Plasmodium falciparum</i> malaria antigens PF155/RESA and CS protein in rural Zambian populations.</i> UNKNOWN. London School of Hygiene & Tropical Medicine. London. .",,
36,,353,Malika,14.801,-17.334,URBAN,Senegal,SEN,Africa,1,1995,1,1995,0,99,367,22,0.0599,P. falciparum,Microscopy,,,true,true,,"Faye, O., Diop, A., Gaye, O., Diop, B.M., Bah, I.B., Dieng, T., Dieng, Y., N'Dir, O. and Diallo, S. (1998).  <b>Evaluation of parasitic risks for the population bordering on the Mbeubeuss public waste disposal, Dakar.</b> <i>Dakar Médical</i>, <b>43</b>(1):90-4",,
38,,11617,Kasekulo Primary School,-0.2381,32.1847,UNKNOWN,Uganda,UGA,Africa,1,2010,3,2010,10,15,16,0,0,P. falciparum,Microscopy,,,true,true,,"Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0",,
44,,19933,Goofgaduud Buurey,3.3158,43.4694,UNKNOWN,Somalia,SOM,Africa,12,2009,12,2009,1,59,152,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
45,,13206,Berberati,4.249,15.785,UNKNOWN,Central African Republic,CAF,Africa,9,1989,9,1989,3,9,116,57,0.4914,P. falciparum,Microscopy,,,true,true,,"Canh, T. (1990). <i>Surveillance de la Chimiorésistance de <i>Plasmodium falciparum</i> aux amino-4 quinoleines.</i> UNKNOWN. Université de Bangui: Faculté des Sciences de la Santé. Bangui. .",,
